event_id,audio_path,label,split,source_index,source_filename,sha256,provenance,beans_max_duration_s,duration_protocol,condition
test_10,/root/animal-omni-kv/data/beans/interventions/watkins_test/full_0-8k/test_10.wav,Clymene_Dolphin,test,10,8300604C.wav,502029f039ecb1e93d75ef92126de869fdfa5e56e07a5ffce8c13914b3b0de9b,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_10,/root/animal-omni-kv/data/beans/interventions/watkins_test/lp_0-1000/test_10.wav,Clymene_Dolphin,test,10,8300604C.wav,502029f039ecb1e93d75ef92126de869fdfa5e56e07a5ffce8c13914b3b0de9b,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_16,/root/animal-omni-kv/data/beans/interventions/watkins_test/full_0-8k/test_16.wav,Clymene_Dolphin,test,16,8300600C.wav,ae5b05c554fb81d8ed7efc222c93d2fcff8ecd5cf214fdddaa7559fca873f84f,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_16,/root/animal-omni-kv/data/beans/interventions/watkins_test/lp_0-1000/test_16.wav,Clymene_Dolphin,test,16,8300600C.wav,ae5b05c554fb81d8ed7efc222c93d2fcff8ecd5cf214fdddaa7559fca873f84f,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_19,/root/animal-omni-kv/data/beans/interventions/watkins_test/full_0-8k/test_19.wav,Clymene_Dolphin,test,19,8300602C.wav,292655489bf2a97741b825bef024de57ea06ff81f62094165ce99810882935da,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_19,/root/animal-omni-kv/data/beans/interventions/watkins_test/lp_0-1000/test_19.wav,Clymene_Dolphin,test,19,8300602C.wav,292655489bf2a97741b825bef024de57ea06ff81f62094165ce99810882935da,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_21,/root/animal-omni-kv/data/beans/interventions/watkins_test/full_0-8k/test_21.wav,Clymene_Dolphin,test,21,83006003.wav,4c06cb7cfcc167e8210a5918e6269d4745df40b52556bafdd2165138db9871c0,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_21,/root/animal-omni-kv/data/beans/interventions/watkins_test/lp_0-1000/test_21.wav,Clymene_Dolphin,test,21,83006003.wav,4c06cb7cfcc167e8210a5918e6269d4745df40b52556bafdd2165138db9871c0,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_31,/root/animal-omni-kv/data/beans/interventions/watkins_test/full_0-8k/test_31.wav,Clymene_Dolphin,test,31,8300603C.wav,11b6aef80eb7aa573660311fc7e9a1e3e938919793eeceee95394fc4a6410283,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_31,/root/animal-omni-kv/data/beans/interventions/watkins_test/lp_0-1000/test_31.wav,Clymene_Dolphin,test,31,8300603C.wav,11b6aef80eb7aa573660311fc7e9a1e3e938919793eeceee95394fc4a6410283,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_32,/root/animal-omni-kv/data/beans/interventions/watkins_test/full_0-8k/test_32.wav,Clymene_Dolphin,test,32,8303500N.wav,7aca4676772b783770320a6ab468d8aee9ae8aa04cfad02fe112ad8735987802,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_32,/root/animal-omni-kv/data/beans/interventions/watkins_test/lp_0-1000/test_32.wav,Clymene_Dolphin,test,32,8303500N.wav,7aca4676772b783770320a6ab468d8aee9ae8aa04cfad02fe112ad8735987802,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
test_33,/root/animal-omni-kv/data/beans/interventions/watkins_test/full_0-8k/test_33.wav,Clymene_Dolphin,test,33,8300604R.wav,7f045d3d5491c78dd1e2071af49223fe6910855baebcf54bb0eb2a79e723f58a,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,full_0-8k
test_33,/root/animal-omni-kv/data/beans/interventions/watkins_test/lp_0-1000/test_33.wav,Clymene_Dolphin,test,33,8300604R.wav,7f045d3d5491c78dd1e2071af49223fe6910855baebcf54bb0eb2a79e723f58a,hf:beans_watkins/test-00000-of-00001.parquet,3.0,mono_mean_prefix_truncate_zero_pad_before_qwen_resample,lp_0-1000
